Timestep,Name, Infected, Recovered, Susceptible, Vaccinated
0, Regensburg, 10, 0, 14990, 0
1, Regensburg, 81, 0, 14919, 0
2, Regensburg, 697, 0, 14303, 0
3, Regensburg, 4390, 0, 10610, 0
4, Regensburg, 11626, 0, 3374, 0
5, Regensburg, 14400, 0, 600, 0
6, Regensburg, 14898, 10, 92, 0
7, Regensburg, 14895, 81, 24, 0
8, Regensburg, 14300, 696, 4, 0
9, Regensburg, 10609, 4390, 1, 0
10, Regensburg, 3375, 11625, 0, 0
11, Regensburg, 600, 14400, 0, 0
12, Regensburg, 92, 14908, 0, 0
13, Regensburg, 24, 14976, 0, 0
14, Regensburg, 4, 14996, 0, 0
15, Regensburg, 1, 14999, 0, 0
16, Regensburg, 0, 15000, 0, 0
0, Regensburg, 9, 0, 14991, 0
1, Regensburg, 88, 0, 14912, 0
2, Regensburg, 755, 0, 14245, 0
3, Regensburg, 4305, 0, 10695, 0
4, Regensburg, 11485, 0, 3515, 0
5, Regensburg, 14388, 0, 612, 0
6, Regensburg, 14920, 9, 71, 0
7, Regensburg, 14900, 88, 12, 0
8, Regensburg, 14245, 755, 0, 0
9, Regensburg, 10696, 4304, 0, 0
10, Regensburg, 3515, 11485, 0, 0
11, Regensburg, 612, 14388, 0, 0
12, Regensburg, 71, 14929, 0, 0
13, Regensburg, 12, 14988, 0, 0
14, Regensburg, 0, 15000, 0, 0
0, Regensburg, 13, 0, 14987, 0
1, Regensburg, 80, 0, 14920, 0
2, Regensburg, 629, 0, 14371, 0
3, Regensburg, 4114, 0, 10886, 0
4, Regensburg, 11268, 0, 3732, 0
5, Regensburg, 14379, 0, 621, 0
6, Regensburg, 14899, 13, 88, 0
7, Regensburg, 14906, 80, 14, 0
8, Regensburg, 14370, 628, 2, 0
9, Regensburg, 10885, 4114, 1, 0
10, Regensburg, 3731, 11268, 1, 0
11, Regensburg, 620, 14379, 1, 0
12, Regensburg, 87, 14912, 1, 0
13, Regensburg, 13, 14986, 1, 0
14, Regensburg, 1, 14998, 1, 0
15, Regensburg, 0, 14999, 1, 0
0, Regensburg, 6, 0, 14994, 0
1, Regensburg, 41, 0, 14959, 0
2, Regensburg, 352, 0, 14648, 0
3, Regensburg, 2479, 0, 12521, 0
4, Regensburg, 9212, 0, 5788, 0
5, Regensburg, 13827, 0, 1173, 0
6, Regensburg, 14826, 6, 168, 0
7, Regensburg, 14932, 41, 27, 0
8, Regensburg, 14643, 352, 5, 0
9, Regensburg, 12520, 2479, 1, 0
10, Regensburg, 5789, 9211, 0, 0
11, Regensburg, 1173, 13827, 0, 0
12, Regensburg, 168, 14832, 0, 0
13, Regensburg, 27, 14973, 0, 0
14, Regensburg, 5, 14995, 0, 0
15, Regensburg, 1, 14999, 0, 0
16, Regensburg, 0, 15000, 0, 0
0, Regensburg, 2, 0, 14998, 0
1, Regensburg, 5, 0, 14995, 0
2, Regensburg, 53, 0, 14947, 0
3, Regensburg, 534, 0, 14466, 0
4, Regensburg, 3637, 0, 11363, 0
5, Regensburg, 10837, 0, 4163, 0
6, Regensburg, 14295, 2, 703, 0
7, Regensburg, 14895, 5, 100, 0
8, Regensburg, 14924, 53, 23, 0
9, Regensburg, 14466, 534, 0, 0
10, Regensburg, 11363, 3637, 0, 0
11, Regensburg, 4164, 10836, 0, 0
12, Regensburg, 703, 14297, 0, 0
13, Regensburg, 100, 14900, 0, 0
14, Regensburg, 23, 14977, 0, 0
15, Regensburg, 0, 15000, 0, 0
