Vaccination Rate, Number of Recovered
6.95305e-310, 0
6.95305e-310, 0
6.95305e-310, 0
6.95305e-310, 0
6.95305e-310, 6
6.95305e-310, 7
6.95305e-310, 10
6.95305e-310, 18
6.95305e-310, 40
6.95305e-310, 69
6.95305e-310, 103
6.95305e-310, 189
6.95305e-310, 306
6.95305e-310, 504
6.95305e-310, 855
6.95305e-310, 1392
6.95305e-310, 2236
6.95305e-310, 3531
6.95305e-310, 5298
6.95305e-310, 7491
6.95305e-310, 9774
6.95305e-310, 11946
6.95305e-310, 13702
6.95305e-310, 14988
6.95305e-310, 15831
6.95305e-310, 16419
6.95305e-310, 16816
6.95305e-310, 17053
6.95305e-310, 17194
6.95305e-310, 17328
6.95305e-310, 17441
6.95305e-310, 17572
6.95305e-310, 17726
6.95305e-310, 17904
6.95305e-310, 18102
6.95305e-310, 18290
6.95305e-310, 18434
6.95305e-310, 18521
6.95305e-310, 18583
6.95305e-310, 18620
6.95305e-310, 18640
6.95305e-310, 18655
6.95305e-310, 18661
6.95305e-310, 18664
6.95305e-310, 18667
6.95305e-310, 18668
6.95305e-310, 18669
6.95305e-310, 18669
6.95305e-310, 18670
6.95305e-310, 0
6.95305e-310, 0
6.95305e-310, 0
6.95305e-310, 0
6.95305e-310, 6
6.95305e-310, 12
6.95305e-310, 24
6.95305e-310, 45
6.95305e-310, 91
6.95305e-310, 150
6.95305e-310, 233
6.95305e-310, 413
6.95305e-310, 687
6.95305e-310, 1103
6.95305e-310, 1642
6.95305e-310, 2396
6.95305e-310, 3301
6.95305e-310, 4411
6.95305e-310, 5684
6.95305e-310, 7213
6.95305e-310, 8999
6.95305e-310, 10991
6.95305e-310, 13002
6.95305e-310, 14708
6.95305e-310, 15998
6.95305e-310, 16981
6.95305e-310, 17622
6.95305e-310, 18029
6.95305e-310, 18299
6.95305e-310, 18448
6.95305e-310, 18527
6.95305e-310, 18586
6.95305e-310, 18609
6.95305e-310, 18628
6.95305e-310, 18641
6.95305e-310, 18651
6.95305e-310, 18651
6.95305e-310, 18652
6.95305e-310, 18656
6.95305e-310, 18657
6.95305e-310, 0
6.95305e-310, 0
6.95305e-310, 0
6.95305e-310, 0
6.95305e-310, 7
6.95305e-310, 11
6.95305e-310, 19
6.95305e-310, 24
6.95305e-310, 36
6.95305e-310, 56
6.95305e-310, 97
6.95305e-310, 141
6.95305e-310, 225
6.95305e-310, 347
6.95305e-310, 514
6.95305e-310, 804
6.95305e-310, 1232
6.95305e-310, 1811
6.95305e-310, 2683
6.95305e-310, 3808
6.95305e-310, 5176
6.95305e-310, 6802
6.95305e-310, 8680
6.95305e-310, 10750
6.95305e-310, 12835
6.95305e-310, 14579
6.95305e-310, 15973
6.95305e-310, 16982
6.95305e-310, 17616
6.95305e-310, 18029
6.95305e-310, 18276
6.95305e-310, 18427
6.95305e-310, 18517
6.95305e-310, 18576
6.95305e-310, 18606
6.95305e-310, 18623
6.95305e-310, 18640
6.95305e-310, 18646
6.95305e-310, 18649
6.95305e-310, 18653
6.95305e-310, 18654
6.95305e-310, 18655
6.95305e-310, 0
6.95305e-310, 0
6.95305e-310, 0
6.95305e-310, 0
6.95305e-310, 5
6.95305e-310, 13
6.95305e-310, 22
6.95305e-310, 42
6.95305e-310, 88
6.95305e-310, 155
6.95305e-310, 247
6.95305e-310, 398
6.95305e-310, 642
6.95305e-310, 1034
6.95305e-310, 1623
6.95305e-310, 2572
6.95305e-310, 3980
6.95305e-310, 5913
6.95305e-310, 8188
6.95305e-310, 10441
6.95305e-310, 12504
6.95305e-310, 14204
6.95305e-310, 15344
6.95305e-310, 16123
6.95305e-310, 16607
6.95305e-310, 16919
6.95305e-310, 17110
6.95305e-310, 17215
6.95305e-310, 17268
6.95305e-310, 17309
6.95305e-310, 17329
6.95305e-310, 17344
6.95305e-310, 17348
6.95305e-310, 17352
6.95305e-310, 17359
6.95305e-310, 17361
6.95305e-310, 17362
6.95305e-310, 17363
6.95305e-310, 0
6.95305e-310, 0
6.95305e-310, 0
6.95305e-310, 0
6.95305e-310, 8
6.95305e-310, 12
6.95305e-310, 23
6.95305e-310, 38
6.95305e-310, 64
6.95305e-310, 108
6.95305e-310, 175
6.95305e-310, 304
6.95305e-310, 469
6.95305e-310, 727
6.95305e-310, 1126
6.95305e-310, 1706
6.95305e-310, 2566
6.95305e-310, 3815
6.95305e-310, 5421
6.95305e-310, 7453
6.95305e-310, 9772
6.95305e-310, 12035
6.95305e-310, 14035
6.95305e-310, 15643
6.95305e-310, 16792
6.95305e-310, 17528
6.95305e-310, 18000
6.95305e-310, 18310
6.95305e-310, 18487
6.95305e-310, 18577
6.95305e-310, 18630
6.95305e-310, 18672
6.95305e-310, 18691
6.95305e-310, 18700
6.95305e-310, 18708
6.95305e-310, 18710
6.95305e-310, 18713
6.95305e-310, 18714
